Symbol;Name;MarketCap;IPOyear;Sector;industry
CRVS;Corvus Pharmaceuticals, Inc.;$256.66M;2016;Health Care;Major Pharmaceuticals
CSGP;CoStar Group, Inc.;$9.02B;1998;Miscellaneous;Business Services
COST;Costco Wholesale Corporation;$68.61B;n/a;Consumer Services;Department/Specialty Retail Stores
CPAH;CounterPath Corporation;$14.23M;n/a;Technology;Computer Software: Prepackaged Software
ICBK;County Bancorp, Inc.;$165.36M;2015;Finance;Major Banks
COUP;Coupa Software Incorporated;$1.63B;2016;Technology;Computer Software: Prepackaged Software
CVTI;Covenant Transportation Group, Inc.;$349.19M;1994;Transportation;Trucking Freight/Courier Services
COWN;Cowen Inc.;$487.88M;n/a;Finance;Investment Bankers/Brokers/Service
COWNL;Cowen Inc.;n/a;n/a;Finance;Investment Bankers/Brokers/Service
PMTS;CPI Card Group Inc.;$75.05M;2015;Finance;Finance Companies
CPSH;CPS Technologies Corp.;$17.16M;n/a;Capital Goods;Building Materials
CRAI;CRA International,Inc.;$317.87M;1998;Miscellaneous;Other Consumer Services
CBRL;Cracker Barrel Old Country Store, Inc.;$3.68B;1981;Consumer Services;Restaurants
BREW;Craft Brew Alliance, Inc.;$341.91M;n/a;Consumer Non-Durables;Beverages (Production/Distribution)
CRAY;Cray Inc;$805.39M;n/a;Technology;Computer Manufacturing
CACC;Credit Acceptance Corporation;$5.24B;1992;Finance;Finance: Consumer Services
USOI;Credit Suisse AG;n/a;n/a;Finance;Investment Bankers/Brokers/Service
CREE;Cree, Inc.;$2.35B;1993;Technology;Semiconductors
CRESY;Cresud S.A.C.I.F. y A.;$901.11M;1997;Finance;Real Estate
CRSP;CRISPR Therapeutics AG;$735.95M;2016;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
CRTO;Criteo S.A.;$3.19B;2013;Technology;Advertising
CROX;Crocs, Inc.;$588.23M;2006;Consumer Non-Durables;Shoe Manufacturing
CCRN;Cross Country Healthcare, Inc.;$437.57M;2001;Technology;Professional Services
CRDS;Crossroads Systems, Inc.;$2.16M;1999;Technology;Computer peripheral equipment
CRWS;Crown Crafts, Inc.;$55.82M;n/a;Basic Industries;Textiles
CYRX;CryoPort, Inc.;$168.79M;n/a;Transportation;Oil Refining/Marketing
CYRXW;CryoPort, Inc.;n/a;n/a;Transportation;Oil Refining/Marketing
CSGS;CSG Systems International, Inc.;$1.32B;1996;Technology;EDP Services
CCLP;CSI Compressco LP;$154.19M;2011;Energy;Oilfield Services/Equipment
CSPI;CSP Inc.;$40.78M;1982;Technology;EDP Services
CSWI;CSW Industrials, Inc.;$613.35M;n/a;Basic Industries;Home Furnishings
CSX;CSX Corporation;$44.51B;n/a;Transportation;Railroads
CTIC;CTI BioPharma Corp.;$156.93M;1997;Health Care;Major Pharmaceuticals
CTIB;CTI Industries Corporation;$18.84M;1997;Basic Industries;Specialty Chemicals
CTRP;Ctrip.com International, Ltd.;$29.61B;2003;Miscellaneous;Business Services
CUNB;CU Bancorp (CA);$660.64M;n/a;Finance;Major Banks
CUI;CUI Global, Inc.;$65.4M;n/a;Consumer Non-Durables;Electronic Components
CPIX;Cumberland Pharmaceuticals Inc.;$108.07M;2009;Health Care;Major Pharmaceuticals
CMLS;Cumulus Media Inc.;$12.35M;1998;Consumer Services;Broadcasting
CRIS;Curis, Inc.;$247.29M;n/a;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
CUTR;Cutera, Inc.;$355.47M;2004;Health Care;Biotechnology: Electromedical & Electrotherapeutic Apparatus
CVBF;CVB Financial Corporation;$2.37B;n/a;Finance;Major Banks
CVV;CVD Equipment Corporation;$66.85M;n/a;Technology;Industrial Machinery/Components
CYAN;Cyanotech Corporation;$18.76M;n/a;Consumer Durables;Specialty Chemicals
CYBR;CyberArk Software Ltd.;$1.4B;2014;Technology;Computer Software: Prepackaged Software
CYBE;CyberOptics Corporation;$113.52M;1987;Capital Goods;Electronic Components
CYCC;Cyclacel Pharmaceuticals, Inc.;$12.83M;n/a;Health Care;Major Pharmaceuticals
CYCCP;Cyclacel Pharmaceuticals, Inc.;$2.13M;n/a;Health Care;Major Pharmaceuticals
CBAY;CymaBay Therapeutics Inc.;$311.16M;n/a;Health Care;Major Pharmaceuticals
CY;Cypress Semiconductor Corporation;$4.63B;1986;Technology;Semiconductors
CYRN;CYREN Ltd.;$64.66M;n/a;Technology;Computer Software: Prepackaged Software
CONE;CyrusOne Inc;$5.14B;2013;Consumer Services;Real Estate Investment Trusts
CYTK;Cytokinetics, Incorporated;$594.89M;2004;Health Care;Major Pharmaceuticals
CTMX;CytomX Therapeutics, Inc.;$500.53M;2015;Health Care;Major Pharmaceuticals
CYTX;Cytori Therapeutics Inc;$12.65M;n/a;Health Care;Medical/Dental Instruments
CYTXW;Cytori Therapeutics Inc;n/a;n/a;Health Care;Medical/Dental Instruments
CTSO;Cytosorbents Corporation;$129.3M;n/a;Health Care;Medical/Dental Instruments
CYTR;CytRx Corporation;$95.79M;1986;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
DJCO;Daily Journal Corp. (S.C.);$281.8M;n/a;Consumer Services;Newspapers/Magazines
DAKT;Daktronics, Inc.;$425.16M;1994;Consumer Durables;Miscellaneous manufacturing industries
DARE;Dare Bioscience, Inc.;$444186.54;2014;Health Care;Major Pharmaceuticals
DRIO;DarioHealth Corp.;$23.99M;n/a;Health Care;Medical/Dental Instruments
DRIOW;DarioHealth Corp.;n/a;n/a;Health Care;Medical/Dental Instruments
DZSI;DASAN Zhone Solutions, Inc.;$22.76M;n/a;Public Utilities;Telecommunications Equipment
DSKE;Daseke, Inc.;$465.79M;2015;Consumer Services;Transportation Services
DSKEW;Daseke, Inc.;n/a;2015;Consumer Services;Transportation Services
DAIO;Data I/O Corporation;$62.76M;1981;Capital Goods;Electrical Products
DWCH;Datawatch Corporation;$131.14M;1992;Technology;Computer Software: Prepackaged Software
PLAY;Dave & Buster&#39;;;;
DTEA;DAVIDsTEA Inc.;$142.93M;2015;Consumer Non-Durables;Food Chains
DFNL;Davis Select Financial ETF;n/a;n/a;n/a;n/a
DUSA;Davis Select U.S. Equity ETF;n/a;n/a;n/a;n/a
DWLD;Davis Select Worldwide ETF;n/a;n/a;n/a;n/a
DWSN;Dawson Geophysical Company;$94.76M;n/a;Energy;Oil & Gas Production
DBVT;DBV Technologies S.A.;$2.24B;2014;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
DFRG;Del Frisco&#39;;;;
TACO;Del Taco Restaurants, Inc.;$494.02M;2014;Consumer Services;Restaurants
TACOW;Del Taco Restaurants, Inc.;n/a;2014;Consumer Services;Restaurants
DCTH;Delcath Systems, Inc.;$49.91M;2000;Health Care;Medical/Dental Instruments
DMPI;DelMar Pharmaceuticals, Inc.;$28.2M;n/a;Health Care;Major Pharmaceuticals
DGAS;Delta Natural Gas Company, Inc.;$217.13M;1981;Public Utilities;Oil & Gas Production
DELT;Delta Technology Holdings Limited;$11.64M;n/a;Basic Industries;Major Chemicals
DELTW;Delta Technology Holdings Limited;n/a;2013;Basic Industries;Major Chemicals
DENN;Denny&#39;;;;
XRAY;DENTSPLY SIRONA Inc.;$14.12B;1987;Health Care;Medical/Dental Instruments
DEPO;Depomed, Inc.;$596.25M;n/a;Health Care;Major Pharmaceuticals
DERM;Dermira, Inc.;$1.1B;2014;Health Care;Major Pharmaceuticals
DEST;Destination Maternity Corporation;$18.46M;n/a;Consumer Services;Clothing/Shoe/Accessory Stores
DXLG;Destination XL Group, Inc.;$91.14M;n/a;Consumer Services;Clothing/Shoe/Accessory Stores
DSWL;Deswell Industries, Inc.;$38.92M;1995;Consumer Non-Durables;Plastic Products
DTRM;Determine, Inc. ;$31.25M;n/a;Technology;Computer Software: Prepackaged Software
DXCM;DexCom, Inc.;$6.16B;2005;Health Care;Medical/Dental Instruments
DXTR;Dextera Surgical Inc.;$3.97M;n/a;Health Care;Medical/Dental Instruments
DHXM;DHX Media Ltd.;$158.29M;n/a;n/a;n/a
DHIL;Diamond Hill Investment Group, Inc.;$679.2M;n/a;Finance;Investment Managers
FANG;Diamondback Energy, Inc.;$9.34B;2012;Energy;Oil & Gas Production
DCIX;Diana Containerships Inc.;$23258.42;n/a;Transportation;Marine Transportation
DRNA;Dicerna Pharmaceuticals, Inc.;$152.85M;2014;Health Care;Major Pharmaceuticals
DFBG;Differential Brands Group Inc.;$25.33M;n/a;Consumer Non-Durables;Apparel
DFFN;Diffusion Pharmaceuticals Inc.;$17.28M;n/a;Health Care;Major Pharmaceuticals
DGII;Digi International Inc.;$253.43M;1989;Technology;Computer Communications Equipment
DGLT;Digiliti Money Group, Inc.;$7.3M;n/a;Technology;Telecommunications Equipment
DMRC;Digimarc Corporation;$345.34M;n/a;Technology;EDP Services
DRAD;Digirad Corporation;$78.91M;2004;Health Care;Biotechnology: Electromedical & Electrotherapeutic Apparatus
DGLY;Digital Ally, Inc.;$19.6M;n/a;Technology;Radio And Television Broadcasting And Communications Equipment
APPS;Digital Turbine, Inc.;$72.6M;n/a;Miscellaneous;Multi-Sector Companies
DCOM;Dime Community Bancshares, Inc.;$761.04M;n/a;Finance;Savings Institutions
DMTX;Dimension Therapeutics, Inc.;$35.06M;2015;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
DIOD;Diodes Incorporated;$1.27B;n/a;Technology;Semiconductors
DISCA;Discovery Communications, Inc.;$8.67B;n/a;Consumer Services;Television Services
DISCB;Discovery Communications, Inc.;$9.66B;n/a;Consumer Services;Television Services
DISCK;Discovery Communications, Inc.;$8.25B;n/a;Consumer Services;Television Services
DISH;DISH Network Corporation;$28.24B;1995;Consumer Services;Television Services
DVCR;Diversicare Healthcare Services Inc.;$60.07M;n/a;Health Care;Hospital/Nursing Management
SAUC;Diversified Restaurant Holdings, Inc.;$55.47M;n/a;Consumer Services;Restaurants
DLHC;DLH Holdings Corp.;$65.15M;n/a;Technology;Professional Services
BOOM;DMC Global Inc.;$203.84M;n/a;Capital Goods;Industrial Specialties
DNBF;DNB Financial Corp;$136.47M;n/a;Finance;Major Banks
DLTR;Dollar Tree, Inc.;$17.54B;1995;Consumer Services;Department/Specialty Retail Stores
DGICA;Donegal Group, Inc.;$412.91M;n/a;Finance;Property-Casualty Insurers
DGICB;Donegal Group, Inc.;$383.43M;1986;Finance;Property-Casualty Insurers
DMLP;Dorchester Minerals, L.P.;$472.9M;n/a;Energy;Oil & Gas Production
DORM;Dorman Products, Inc.;$2.58B;n/a;Capital Goods;Auto Parts:O.E.M.
EAGL;Double Eagle Acquisition Corp.;$628.13M;2015;Finance;Business Services
EAGLU;Double Eagle Acquisition Corp.;n/a;2015;Finance;Business Services
EAGLW;Double Eagle Acquisition Corp.;n/a;2015;Finance;Business Services
DOVA;Dova Pharmaceuticals, Inc.;$497.56M;2017;Health Care;Major Pharmaceuticals
DRYS;DryShips Inc.;$6292.41;2005;Transportation;Marine Transportation
DSPG;DSP Group, Inc.;$262.7M;1994;Technology;Semiconductors
DLTH;Duluth Holdings Inc.;$629.62M;2015;Consumer Services;Clothing/Shoe/Accessory Stores
DNKN;Dunkin&#39;;;;
DRRX;DURECT Corporation;$239.92M;2000;Health Care;Major Pharmaceuticals
DXPE;DXP Enterprises, Inc.;$492.99M;n/a;Capital Goods;Industrial Machinery/Components
DYSL;Dynasil Corporation of America;$19.56M;n/a;Capital Goods;Industrial Machinery/Components
DYNT;Dynatronics Corporation;$12.55M;n/a;Health Care;Biotechnology: Electromedical & Electrotherapeutic Apparatus
DVAX;Dynavax Technologies Corporation;$906.07M;2004;Health Care;Major Pharmaceuticals
ETFC;E*TRADE Financial Corporation;$11.34B;n/a;Finance;Savings Institutions
EBMT;Eagle Bancorp Montana, Inc.;$69.37M;n/a;Finance;Major Banks
EGBN;Eagle Bancorp, Inc.;$2.16B;n/a;Finance;Major Banks
EGLE;Eagle Bulk Shipping Inc.;$325.32M;n/a;Transportation;Marine Transportation
EFBI;Eagle Financial Bancorp, Inc.;$35M;2017;Finance;Savings Institutions
EGRX;Eagle Pharmaceuticals, Inc.;$731.25M;2014;Health Care;Major Pharmaceuticals
IGLE;Eagleline Acquisition Corp.;n/a;n/a;n/a;n/a
EWBC;East West Bancorp, Inc.;$8.39B;n/a;Finance;Major Banks
EACQ;Easterly Acquisition Corp.;$250M;2015;Capital Goods;Building Products
EACQU;Easterly Acquisition Corp.;n/a;2015;Capital Goods;Building Products
EACQW;Easterly Acquisition Corp.;n/a;2015;Capital Goods;Building Products
EML;Eastern Company (The);$180.86M;n/a;Capital Goods;Industrial Machinery/Components
ESDI;Eastside Distilling, Inc.;n/a;n/a;n/a;n/a
EVGBC;Eaton Vance NextShares Trust;n/a;n/a;n/a;n/a
EVSTC;Eaton Vance NextShares Trust;n/a;n/a;n/a;n/a
EVLMC;Eaton Vance NextShares Trust II;n/a;n/a;n/a;n/a
EBAY;eBay Inc.;$38.12B;1998;Miscellaneous;Business Services
EBAYL;eBay Inc.;n/a;n/a;Miscellaneous;Business Services
EBIX;Ebix, Inc.;$1.79B;n/a;Technology;EDP Services
ELON;Echelon Corporation;$22.92M;1998;Technology;Computer Communications Equipment
ECHO;Echo Global Logistics, Inc.;$422.31M;2009;Transportation;Oil Refining/Marketing
SATS;EchoStar Corporation;$5.76B;n/a;Technology;Radio And Television Broadcasting And Communications Equipment
EEI;Ecology and Environment, Inc.;$52.69M;1987;Consumer Services;Military/Government/Technical
ESES;Eco-Stim Energy Solutions, Inc.;$84.91M;n/a;Energy;Oilfield Services/Equipment
EDAP;EDAP TMS S.A.;$84.75M;1997;Health Care;Biotechnology: Electromedical & Electrotherapeutic Apparatus
EDGE;Edge Therapeutics, Inc.;$322.09M;2015;Health Care;Major Pharmaceuticals
EDGW;Edgewater Technology, Inc.;$94.61M;n/a;Technology;Computer Software: Programming, Data Processing
EDIT;Editas Medicine, Inc.;$705.4M;2016;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
EDUC;Educational Development Corporation;$46.44M;n/a;Consumer Durables;Consumer Specialties
EGAN;eGain Corporation;$46.08M;1999;Technology;Computer Software: Prepackaged Software
EGLT;Egalet Corporation;$47.73M;2014;Health Care;Major Pharmaceuticals
EHTH;eHealth, Inc.;$326.79M;2006;Finance;Specialty Insurers
EIGR;Eiger BioPharmaceuticals, Inc.;$72.37M;2014;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
EKSO;Ekso Bionics Holdings, Inc.;$49.47M;n/a;Capital Goods;Industrial Machinery/Components
LOCO;El Pollo Loco Holdings, Inc.;$465.45M;2014;Consumer Services;Restaurants
EMITF;Elbit Imaging Ltd.;$26.65M;n/a;Consumer Services;Building operators
ESLT;Elbit Systems Ltd.;$5.41B;n/a;Capital Goods;Military/Government/Technical
ERI;Eldorado Resorts, Inc.;$1.54B;n/a;Consumer Services;Hotels/Resorts
ESIO;Electro Scientific Industries, Inc.;$345.27M;n/a;Miscellaneous;Industrial Machinery/Components
EA;Electronic Arts Inc.;$36.29B;n/a;Technology;Computer Software: Prepackaged Software
EFII;Electronics for Imaging, Inc.;$1.21B;1992;Technology;Computer Communications Equipment
ELSE;Electro-Sensors, Inc.;$10.25M;n/a;Capital Goods;Industrial Machinery/Components
ELEC;Electrum Special Acquisition Corporation;$221.88M;2015;Finance;Business Services
ELECU;Electrum Special Acquisition Corporation;$230.22M;2015;Finance;Business Services
ELECW;Electrum Special Acquisition Corporation;n/a;2015;Finance;Business Services
EBIO;Eleven Biotherapeutics, Inc.;$35.57M;2014;Health Care;Major Pharmaceuticals
DWAC;Elkhorn Commodity Rotation Strategy ETF;$2.37M;n/a;n/a;n/a
ESBK;Elmira Savings Bank NY (The);$54.37M;n/a;Finance;Major Banks
ELTK;Eltek Ltd.;$7M;1997;Technology;Electrical Products
EMCI;EMC Insurance Group Inc.;$587.82M;1982;Finance;Property-Casualty Insurers
EMCF;Emclaire Financial Corp;$63.23M;n/a;Finance;Major Banks
EMKR;EMCORE Corporation;$249.49M;1997;Technology;Semiconductors
EMMS;Emmis Communications Corporation;$34.44M;1994;Consumer Services;Broadcasting
NYNY;Empire Resorts, Inc.;$763.83M;n/a;Consumer Services;Restaurants
ENTA;Enanta Pharmaceuticals, Inc.;$732.62M;2013;Health Care;Major Pharmaceuticals
ECPG;Encore Capital Group Inc;$1.1B;n/a;Finance;Finance Companies
WIRE;Encore Wire Corporation;$846.54M;1992;Capital Goods;Metal Fabrications
ENDP;Endo International plc;$2.09B;n/a;Health Care;Major Pharmaceuticals
ECYT;Endocyte, Inc.;$60.31M;2011;Health Care;Major Pharmaceuticals
ELGX;Endologix, Inc.;$346.42M;n/a;Health Care;Medical/Dental Instruments
NDRA;ENDRA Life Sciences Inc.;n/a;2017;Health Care;Biotechnology: Electromedical & Electrotherapeutic Apparatus
NDRAW;ENDRA Life Sciences Inc.;n/a;2017;Health Care;Biotechnology: Electromedical & Electrotherapeutic Apparatus
EIGI;Endurance International Group Holdings, Inc.;$1.08B;2013;Technology;Computer Software: Prepackaged Software
WATT;Energous Corporation;$304.44M;2014;Technology;Radio And Television Broadcasting And Communications Equipment
EFOI;Energy Focus, Inc.;$21.79M;n/a;Consumer Durables;Building Products
EHR;Energy Hunter Resources, Inc.;n/a;n/a;n/a;n/a
ERII;Energy Recovery, Inc.;$365.48M;2008;Technology;Industrial Machinery/Components
EXXI;Energy XXI Gulf Coast, Inc.;$652.94M;n/a;Energy;Oil & Gas Production
ENOC;EnerNOC, Inc.;$240M;2007;Technology;Computer Software: Programming, Data Processing
ENG;ENGlobal Corporation;$34.74M;n/a;Consumer Services;Military/Government/Technical
ENPH;Enphase Energy, Inc.;$78.04M;2012;Technology;Semiconductors
ESGR;Enstar Group Limited;$3.94B;n/a;Finance;Property-Casualty Insurers
ENFC;Entegra Financial Corp.;$149.52M;2014;Finance;Banks
ENTG;Entegris, Inc.;$3.5B;2000;Consumer Non-Durables;Plastic Products
ENTL;Entellus Medical, Inc.;$416.2M;2015;Health Care;Medical/Dental Instruments
ETRM;EnteroMedics Inc.;$31.66M;2007;Health Care;Biotechnology: Electromedical & Electrotherapeutic Apparatus
EBTC;Enterprise Bancorp Inc;$392.53M;n/a;Finance;Major Banks
EFSC;Enterprise Financial Services Corporation;$929.13M;n/a;Finance;Major Banks
ENZY          ;Enzymotec Ltd.;$226.01M;2013;Consumer Durables;Specialty Chemicals
EPZM;Epizyme, Inc.;$825.77M;2013;Health Care;Major Pharmaceuticals
PLUS;ePlus inc.;$1.22B;1996;Technology;Retail: Computer Software & Peripheral Equipment
EQIX;Equinix, Inc.;$34.72B;2000;Consumer Services;Real Estate Investment Trusts
EQFN;Equitable Financial Corp.;$35.01M;2015;Finance;Savings Institutions
EQBK;Equity Bancshares, Inc.;$420.51M;2015;Finance;Major Banks
ERIC;Ericsson;$20.51B;n/a;Technology;Radio And Television Broadcasting And Communications Equipment
ERIE;Erie Indemnity Company;$6.64B;n/a;Finance;Specialty Insurers
ESCA;Escalade, Incorporated;$174.53M;n/a;Consumer Non-Durables;Recreational Products/Toys
ESPR;Esperion Therapeutics, Inc.;$1.05B;2013;Health Care;Major Pharmaceuticals
ESQ;Esquire Financial Holdings, Inc.;$108.17M;2017;Finance;Commercial Banks
ESSA;ESSA Bancorp, Inc.;$170.2M;n/a;Finance;Banks
EPIX;ESSA Pharma Inc.;$10.5M;n/a;Health Care;Major Pharmaceuticals
ESND;Essendant Inc.;$459.74M;n/a;Consumer Services;Paper
ETSY;Etsy, Inc.;$1.77B;2015;Miscellaneous;Business Services
CLWT;Euro Tech Holdings Company Limited;$6.91M;1997;Consumer Durables;Diversified Electronic Products
EEFT;Euronet Worldwide, Inc.;$5.09B;1997;Finance;Investment Bankers/Brokers/Service
ESEA;Euroseas Ltd.;$14.75M;n/a;Transportation;Marine Transportation
EVEP;EV Energy Partners, L.P.;$28.12M;2006;Energy;Oil & Gas Production
EVBG;Everbridge, Inc.;$610.2M;2016;Technology;Computer Software: Prepackaged Software
EVK;Ever-Glory International Group, Inc.;$36.24M;n/a;Consumer Non-Durables;Apparel
MRAM;Everspin Technologies, Inc.;$220.17M;2016;Technology;Semiconductors
EVLV;EVINE Live Inc.;$69.53M;n/a;Consumer Services;Catalog/Specialty Distribution
EVGN;Evogene Ltd.;$122.43M;n/a;Basic Industries;Agricultural Chemicals
EVOK;Evoke Pharma, Inc.;$35.39M;2013;Health Care;Major Pharmaceuticals
EVOL;Evolving Systems, Inc.;$59.88M;1998;Technology;EDP Services
EXA;Exa Corporation;$209.38M;2012;Technology;Computer Software: Prepackaged Software
EXAS;Exact Sciences Corporation;$4.61B;2001;Health Care;Biotechnology: Commercial Physical & Biological Resarch
EXAC;Exactech, Inc.;$405.04M;1996;Health Care;Industrial Specialties
XELA;Exela Technologies, Inc.;$937.29M;2015;Miscellaneous;Business Services
XELAU;Exela Technologies, Inc.;n/a;2015;Miscellaneous;Business Services
XELAW;Exela Technologies, Inc.;n/a;2015;Miscellaneous;Business Services
EXEL;Exelixis, Inc.;$7.8B;2000;Health Care;Biotechnology: Commercial Physical & Biological Resarch
EXFO;EXFO Inc;$88.79M;n/a;Capital Goods;Electrical Products
EXLS;ExlService Holdings, Inc.;$1.92B;2006;Miscellaneous;Business Services
EXPE;Expedia, Inc.;$22.95B;n/a;Consumer Services;Transportation Services
EXPD;Expeditors International of Washington, Inc.;$10.73B;n/a;Transportation;Oil Refining/Marketing
EXPO;Exponent, Inc.;$1.72B;n/a;Consumer Services;Professional Services
ESRX;Express Scripts Holding Company;$36.11B;1992;Health Care;Medical/Nursing Services
XOG;Extraction Oil & Gas, Inc.;$1.99B;2016;Energy;Oil & Gas Production
EXTR;Extreme Networks, Inc.;$977.18M;1999;Technology;Computer Communications Equipment
EYEG;Eyegate Pharmaceuticals, Inc.;$18.55M;n/a;Health Care;Major Pharmaceuticals
EYEGW;Eyegate Pharmaceuticals, Inc.;n/a;n/a;Health Care;Major Pharmaceuticals
EZPW;EZCORP, Inc.;$475.1M;1991;Consumer Services;Other Specialty Stores
FFIV;F5 Networks, Inc.;$7.61B;1999;Technology;Computer Communications Equipment
FB;Facebook, Inc.;$492.61B;2012;Technology;Computer Software: Programming, Data Processing
FALC;FalconStor Software, Inc.;$9.1M;n/a;Technology;Computer Software: Prepackaged Software
DAVE;Famous Dave&#39;;;;
FANH;Fanhua Inc.;$543.35M;n/a;Finance;Specialty Insurers
FARM;Farmer Brothers Company;$523.87M;n/a;Consumer Non-Durables;Packaged Foods
FMAO;Farmers & Merchants Bancorp, Inc.;$278.57M;n/a;Finance;Savings Institutions
FFKT;Farmers Capital Bank Corporation;$283.28M;n/a;Finance;Major Banks
FMNB;Farmers National Banc Corp.;$373.52M;n/a;Finance;Major Banks
FARO;FARO Technologies, Inc.;$568.91M;1997;Capital Goods;Industrial Machinery/Components
FAST;Fastenal Company;$12.63B;1987;Consumer Services;RETAIL: Building Materials
FATE;Fate Therapeutics, Inc.;$121.72M;2013;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
FBSS;Fauquier Bankshares, Inc.;$71.39M;n/a;Finance;Major Banks
FSACU;Federal Street Acquisition Corp.;n/a;2017;Finance;Business Services
FNHC;Federated National Holding Company;$208.91M;n/a;Finance;Property-Casualty Insurers
FHCO;Female Health Company (The);$39.49M;n/a;Basic Industries;Specialty Chemicals
GSM;Ferroglobe PLC;$2.19B;n/a;Capital Goods;Metal Fabrications
FCSC;Fibrocell Science Inc;$49.67M;n/a;Health Care;Major Pharmaceuticals
FGEN;FibroGen, Inc;$2.45B;2014;Health Care;Major Pharmaceuticals
ONEQ;Fidelity Nasdaq Composite Index Tracking Stock;$1.27B;n/a;n/a;n/a
LION;Fidelity Southern Corporation;$577.15M;n/a;Finance;Major Banks
FDUS;Fidus Investment Corporation;$374.37M;2011;n/a;n/a
FRGI;Fiesta Restaurant Group, Inc.;$457.38M;n/a;Consumer Services;Restaurants
FSAM;Fifth Street Asset Management Inc.;$204.43M;2014;Finance;Investment Managers
FSC;Fifth Street Finance Corp.;$755.55M;2008;n/a;n/a
FSCFL;Fifth Street Finance Corp.;n/a;n/a;n/a;n/a
FSFR;Fifth Street Senior Floating Rate Corp.;$247.82M;n/a;n/a;n/a
FITB;Fifth Third Bancorp;$20.08B;n/a;Finance;Major Banks
FITBI;Fifth Third Bancorp;$534.96M;n/a;Finance;Major Banks
FNGN;Financial Engines, Inc.;$2.42B;2010;Finance;Investment Managers
FISI;Financial Institutions, Inc.;$426.58M;1999;Finance;Major Banks
FNSR;Finisar Corporation;$2.73B;1999;Technology;Semiconductors
FNJN;Finjan Holdings, Inc.;$73.4M;n/a;Miscellaneous;Multi-Sector Companies
FNTE;FinTech Acquisition Corp. II;$233.4M;2017;Finance;Business Services
FNTEU;FinTech Acquisition Corp. II;n/a;2017;Finance;Business Services
FNTEW;FinTech Acquisition Corp. II;n/a;2017;Finance;Business Services
FEYE;FireEye, Inc.;$2.56B;2013;Technology;Computer peripheral equipment
FBNC;First Bancorp;$779.17M;1987;Finance;Major Banks
FNLC;First Bancorp, Inc (ME);$282.22M;n/a;Finance;Major Banks
FRBA;First Bank;$147.34M;2013;n/a;n/a
BUSE;First Busey Corporation;$1.14B;n/a;Finance;Major Banks
FBIZ;First Business Financial Services, Inc.;$184.59M;n/a;Finance;Major Banks
FCAP;First Capital, Inc.;$103.48M;n/a;Finance;Savings Institutions
FCFS;First Cash, Inc.;$2.79B;1991;Consumer Services;Other Specialty Stores
FCNCA;First Citizens BancShares, Inc.;$4.39B;n/a;Finance;Major Banks
FCBC;First Community Bancshares, Inc.;$458.93M;n/a;Finance;Major Banks
FCCO;First Community Corporation;$142.07M;n/a;Finance;Major Banks
FBNK;First Connecticut Bancorp, Inc.;$397.77M;2011;Finance;Banks
FDEF;First Defiance Financial Corp.;$513.53M;n/a;Finance;Savings Institutions
FFBC;First Financial Bancorp.;$1.6B;n/a;Finance;Major Banks
FFBCW;First Financial Bancorp.;n/a;n/a;Finance;Major Banks
FFIN;First Financial Bankshares, Inc.;$2.85B;n/a;Finance;Major Banks
THFF;First Financial Corporation Indiana;$560.46M;n/a;Finance;Major Banks
FFNW;First Financial Northwest, Inc.;$178.88M;n/a;Finance;Major Banks
FFWM;First Foundation Inc.;$594.4M;n/a;Finance;Major Banks
FGBI;First Guaranty Bancshares, Inc.;$201.87M;n/a;Finance;Savings Institutions
FHB;First Hawaiian, Inc.;$4.1B;2016;Finance;Major Banks
INBK;First Internet Bancorp;$201.27M;n/a;Finance;Major Banks
INBKL;First Internet Bancorp;n/a;n/a;Finance;Major Banks
FIBK;First Interstate BancSystem, Inc.;$2.07B;2010;Finance;Major Banks
FRME;First Merchants Corporation;$1.73B;n/a;Finance;Major Banks
FMBH;First Mid-Illinois Bancshares, Inc.;$443.08M;n/a;Finance;Major Banks
FMBI;First Midwest Bancorp, Inc.;$2.5B;n/a;Finance;Major Banks
FNWB;First Northwest Bancorp;$186.36M;2015;Finance;Banks
FSFG;First Savings Financial Group, Inc.;$119.52M;n/a;Finance;Savings Institutions
FSLR;First Solar, Inc.;$5.01B;2006;Technology;Semiconductors
FSBK;First South Bancorp Inc;$164.2M;n/a;Finance;Major Banks
FAAR;First Trust Alternative Absolute Return Strategy ETF;$7.18M;n/a;n/a;n/a
FPA;First Trust Asia Pacific Ex-Japan AlphaDEX Fund;$49.25M;n/a;n/a;n/a
BICK;First Trust BICK Index Fund;$180.08M;n/a;n/a;n/a
FBZ;First Trust Brazil AlphaDEX Fund;$25.28M;n/a;n/a;n/a
FCAL;First Trust California Municipal High income ETF;$10.08M;n/a;n/a;n/a
FCAN;First Trust Canada AlphaDEX Fund;$7.27M;n/a;n/a;n/a
FTCS;First Trust Capital Strength ETF;$458.32M;n/a;n/a;n/a
